"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PressTV: UN warns of worst humanitarian crisis by Boko Haram https://t.co/sFLPYIq5cX #Nigeria #Chad https://t.co/lkaAGjSBYA",FALSE,0,NA,2016-09-30 20:17:27,FALSE,NA,"781951110214975488",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","Emjay7422",9,TRUE,FALSE,NA,NA
"2","“123 terrorists” killed in Niger's anti-Boko Haram operations - Vanguard https://t.co/Omm1yQBvep",FALSE,0,NA,2016-09-30 20:17:04,FALSE,NA,"781951015712993280",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Naijawhatsup",0,FALSE,FALSE,NA,NA
"3","Famine killing tens of thousands in Boko Haram region -U.N - By Tom Miles GENEVA  – Tens of thousands of people... https://t.co/G9ZOT62gYR",FALSE,0,NA,2016-09-30 20:16:31,FALSE,NA,"781950875946352640",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SundiataPOST",0,FALSE,FALSE,NA,NA
"4","RT @IRLA_USA: Savaged by #BokoHaram https://t.co/nfCvStuuD8 #Nigeria",FALSE,0,NA,2016-09-30 20:16:27,FALSE,NA,"781950859349467136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adamazi_nwamadi",23,TRUE,FALSE,NA,NA
"5","“I have worked in Darfur,” Lanzer told reporters, referring to the war-torn Sudanese region. “The scale and the... https://t.co/HhRQUSlojB",FALSE,0,NA,2016-09-30 20:16:16,FALSE,NA,"781950814474670080",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","amkareto",0,FALSE,FALSE,NA,NA
"6","RT @OxfamAmerica: Families 'only able to eat once every few days' in #Nigeria hunger crisis warns Oxfam: https://t.co/ZJvwu0SJz5",FALSE,0,NA,2016-09-30 20:16:15,FALSE,NA,"781950807696609280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OsitaEkwedike",38,TRUE,FALSE,NA,NA
"7","BrainiacFunded US builds a $100 million African drone base to fight Boko Haram https://t.co/JUuQHR1BHW",FALSE,0,NA,2016-09-30 20:15:59,FALSE,NA,"781950740025729025",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BrainiacFunded",0,FALSE,FALSE,NA,NA
"8","#news_web_tech US builds a $100 million African drone base to fight Boko Haram https://t.co/5ZmLQ8VcMu",FALSE,0,NA,2016-09-30 20:15:58,FALSE,NA,"781950739690229763",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","news_web_tech",0,FALSE,FALSE,NA,NA
"9","RT @nytopinion: The fight against Boko Haram will not be won unless the misery that it generates is also alleviated. https://t.co/t3CZzxE4T2",FALSE,0,NA,2016-09-30 20:15:47,FALSE,NA,"781950692114231296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CathleenMOKelly",14,TRUE,FALSE,NA,NA
"10","RT @viewfromthecave: Business loans draw young Nigerians to join Boko Haram https://t.co/fh6wVpEm04 (new story)",FALSE,0,NA,2016-09-30 20:15:34,FALSE,NA,"781950637533696004",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitangshu",1,TRUE,FALSE,NA,NA
