"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","term"
"1","""At the request of, and in close coordination with, the Government of Niger, United States Africa Command is... https://t.co/zIwh97oP1c",FALSE,0,NA,2016-09-30 21:04:55,FALSE,NA,"781963057593409536",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Chazmacs",0,FALSE,FALSE,NA,NA,"boko haram"
"2","US builds a $100 million African drone base to fight Boko Haram https://t.co/xN2MmvmFtl",FALSE,0,NA,2016-09-30 21:04:55,FALSE,NA,"781963056276353024",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Chazmacs",0,FALSE,FALSE,NA,NA,"boko haram"
"3","14 soldiers killed in anti-Boko Haram operations https://t.co/evqSQMansf via todayng https://t.co/HDiaypE15b",FALSE,0,NA,2016-09-30 21:04:43,FALSE,NA,"781963007219884032",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","NewsPostNigeria",0,FALSE,FALSE,NA,NA,"boko haram"
"4","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 21:04:43,FALSE,NA,"781963006263582720",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PaoloNurra",16,TRUE,FALSE,NA,NA,"boko haram"
"5","RT @INSubcontinent: World: Boko Haram region poised for w .. #TISNews Link - https://t.co/mlTJvYU9hb https://t.co/QrglbVtyNY",FALSE,0,NA,2016-09-30 21:04:35,FALSE,NA,"781962974328070144",NA,"<a href=""http://theindiansubcontinent.com"" rel=""nofollow"">TweetNSAuto2</a>","ErtigCrowdBuy",3,TRUE,FALSE,NA,NA,"boko haram"
"6","US builds a $100 million African drone base to fight Boko Haram - https://t.co/JQoLJvgFeh #News https://t.co/osVGdzwxZT",FALSE,0,NA,2016-09-30 21:04:20,FALSE,NA,"781962908745998340",NA,"<a href=""https://www.aivanet.com"" rel=""nofollow"">AIVAnet_Site</a>","aivanet",0,FALSE,FALSE,NA,NA,"boko haram"
"7","CyberAnonymous: NigeriaNewsdesk: 14 soldiers killed in anti-Boko Haram operations https://t.co/mcN2G5Tpre via tod… https://t.co/7I1DBgmPyu",FALSE,0,NA,2016-09-30 21:03:55,FALSE,NA,"781962803578109952",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ikmuhd",0,FALSE,FALSE,NA,NA,"boko haram"
"8","RT @Amaka_Ekwo: Nnamdi Kanu must be a prophet.

Nigeria now like then Somalia says OXFAM.

Pls support #SelfDetermination. #Biafra 

https:…",FALSE,0,NA,2016-09-30 21:03:32,FALSE,NA,"781962706488266753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fred_ldy",64,TRUE,FALSE,NA,NA,"boko haram"
"9","RT @NigeriaNewsdesk: 14 soldiers killed in anti-Boko Haram operations https://t.co/zK1Q3ajrVs via @todayng https://t.co/fXywoKjHKD",FALSE,0,NA,2016-09-30 21:03:29,FALSE,NA,"781962696174567425",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","NanaSenaya",2,TRUE,FALSE,NA,NA,"boko haram"
"10","RT @NigeriaNewsdesk: Boko Haram region could become world’s worst crisis – UN https://t.co/1CG0uMA2v3 via @todayng https://t.co/VI2HttJMBA",FALSE,0,NA,2016-09-30 21:03:17,FALSE,NA,"781962645909938177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abel89687",6,TRUE,FALSE,NA,NA,"boko haram"
